case_id;activity;time
mision1;T1_enter;2023-01-01 00:03:50
mision1;T1_task1;2023-01-01 00:04:39
mision1;T2_enter;2023-01-01 00:07:23
mision1;T2_task2;2023-01-01 00:08:12
mision1;T3_enter;2023-01-01 00:09:35
mision1;T3_task3;2023-01-01 00:10:24
mision1;T4_enter;2023-01-01 00:22:30
mision1;T4_task4;2023-01-01 00:23:19
mision1;T5_enter;2023-01-01 00:29:48
mision1;T5_task5;2023-01-01 00:30:37
mision1;T6_enter;2023-01-01 00:31:22
mision1;T6_task6;2023-01-01 00:32:11
mision1;T7_enter;2023-01-01 00:40:52
mision1;T7_task7;2023-01-01 00:41:41
mision1;T8_enter;2023-01-01 00:44:05
mision1;T8_task8;2023-01-01 00:44:54
mision1;T1-T8_task9;2023-01-01 00:45:11
mision2;T1_enter;2023-01-02 00:04:00
mision2;T1_task1;2023-01-02 00:04:49
mision2;T2_enter;2023-01-02 00:05:47
mision2;T2_task2;2023-01-02 00:06:36
mision2;T3_enter;2023-01-02 00:10:02
mision2;T3_task3;2023-01-02 00:10:51
mision2;T4_enter;2023-01-02 00:11:43
mision2;T4_task4;2023-01-02 00:12:32
mision2;T5_enter;2023-01-02 00:14:47
mision2;T5_task5;2023-01-02 00:15:36
mision2;T6_enter;2023-01-02 00:24:47
mision2;T6_task6;2023-01-02 00:25:36
mision2;T7_enter;2023-01-02 00:26:33
mision2;T7_task7;2023-01-02 00:27:22
mision2;T8_enter;2023-01-02 00:28:52
mision2;T8_task8;2023-01-02 00:29:41
mision2;T1-T8_task9;2023-01-02 00:29:58
mision3;T1_enter;2023-01-03 00:02:52
mision3;T1_task1;2023-01-03 00:03:41
mision3;T2_enter;2023-01-03 00:04:19
mision3;T2_task2;2023-01-03 00:05:08
mision3;T3_enter;2023-01-03 00:05:50
mision3;T3_task3;2023-01-03 00:06:39
mision3;T4_enter;2023-01-03 00:07:18
mision3;T4_task4;2023-01-03 00:08:07
mision3;T5_enter;2023-01-03 00:14:28
mision3;T5_task5;2023-01-03 00:15:17
mision3;T6_enter;2023-01-03 00:16:39
mision3;T6_task6;2023-01-03 00:17:28
mision3;T7_enter;2023-01-03 00:18:30
mision3;T7_task7;2023-01-03 00:19:19
mision3;T8_enter;2023-01-03 00:22:47
mision3;T8_task8;2023-01-03 00:23:36
mision3;T1-T8_task9;2023-01-03 00:23:52
mision4;T1_enter;2023-01-04 00:03:50
mision4;T1_task1;2023-01-04 00:04:39
mision4;T2_enter;2023-01-04 00:06:25
mision4;T2_task2;2023-01-04 00:07:14
mision4;T3_enter;2023-01-04 00:10:29
mision4;T3_task3;2023-01-04 00:11:18
mision4;T4_enter;2023-01-04 00:12:13
mision4;T4_task4;2023-01-04 00:13:02
mision4;T5_enter;2023-01-04 00:13:53
mision4;T5_task5;2023-01-04 00:14:42
mision4;T6_enter;2023-01-04 00:28:26
mision4;T6_task6;2023-01-04 00:29:15
mision4;T7_enter;2023-01-04 00:32:05
mision4;T7_task7;2023-01-04 00:32:54
mision4;T8_enter;2023-01-04 00:38:16
mision4;T8_task8;2023-01-04 00:39:05
mision4;T1-T8_task9;2023-01-04 00:39:22
mision5;T1_enter;2023-01-05 00:05:03
mision5;T1_task1;2023-01-05 00:05:52
mision5;T2_enter;2023-01-05 00:06:25
mision5;T2_task2;2023-01-05 00:07:14
mision5;T3_enter;2023-01-05 00:08:45
mision5;T3_task3;2023-01-05 00:09:34
mision5;T4_enter;2023-01-05 00:38:05
mision5;T4_task4;2023-01-05 00:38:54
mision5;T5_enter;2023-01-05 00:50:33
mision5;T5_task5;2023-01-05 00:51:22
mision5;T6_enter;2023-01-05 00:52:49
mision5;T6_task6;2023-01-05 00:53:38
mision5;T7_enter;2023-01-05 00:57:29
mision5;T7_task7;2023-01-05 00:58:18
mision5;T8_enter;2023-01-05 01:05:07
mision5;T8_task8;2023-01-05 01:05:56
mision5;T1-T8_task9;2023-01-05 01:06:12
